,Title,Description,Type,Geography,Geography Code,Frameworks,Keywords,Events
0,Regulatory Order fixing the guaranteed purchase price and the conditions of their application for electricity generated from facilities using photovoltaic segment,"Establishes a variable 20-year Solar PV feed-in-tariff (FIT) for ground-mounted solar installations greater than 1MW.<br />
<br />
Fixes the FIT for 1MW to 5MW installations at 15.94 DZD per kWh for the first 5 years and between 20.08 DZD per kWh to 11.80 DZD per kWh for the following 15 years. For installations larger than 5MW, the FIT is fixed at 12.75 DZD per KWh for the first 5 years and between 12.75 DZD per kWh and 9.44 per kWh for the final 15 years.<br />
<br />
Only pays the FIT for a limited number of hours per year, following which electricity is sold at a conventional price.",executive,Algeria,DZA,Mitigation and adaptation,Energy Supply,02/02/2014 | Law passed
1,The National Climate Plan,"The National Climate Plan presents an agenda both in terms of mitigation and adaptation, aims to realize sustained economic growth and inclusive social development, while taking due account of climate change related challenges. It provides an overview of climate change vulnerabilities in Algeria and proposes over 70 action measures, including:<br />
- adoption of cleaner energy consumption model by substituting liquid fuels by natural gas and liquefied propane;<br />
- achieving 35,000 hectares of forests and developing another 175,000 hectares;<br />
-waste recovery (13.5 million tonnes / year),<br />
- electrification of railway transport and intensification of urban public transport (including constructing the Algiers metro and tramway infrastructure in several cities).<br />
The Plan further promotes uptake of renewable energies and sets a target of installing of 22,000 MW of renewable power capacity between 2011 and 2030, divided between 12, 000 MW to be dedicated to cover the national demand for electricity and 10,000 MW for export.",executive,Algeria,DZA,,"Transportation, Redd+ And Lulucf, Energy Supply, Energy Demand, Adaptation",28/04/2013 | Law passed
2,Executive Decree No. 2011-423 fixing the operating procedures of the Trust Account No. 302-1221 'National Fund for Renewable Energy and Cogeneration',"Amends the operating procedures of the National Fund for Renewable Energy and Cogeneration, first established pursuant to the Finance Act of 2010, to increase the revenue paid into this fund from .5% of oil royalties to 1% of oil royalties, plus any additional contributions. Grants authority to the Minister of Finance to jointly manage expenditures from this fund with the Minister of Energy for the purposes of financing operations and projects for the promotion of renewable energy and cogeneration.",executive,Algeria,DZA,Adaptation,"Research And Development, Energy Supply",08/12/2011 | Law passed
3,Renewable Energy and Energy Efficiency Development Plan,"The main objective of the Renewable Energy and Energy Efficiency Development Plan is to expand usage of renewable energies and to diversify energy sources in the country.<br />
<br />
The Plan's renewable energy goals are:<br />
- To install 22,000MW of power generating capacity from renewable sources between 2011 and 2030 (of which 12,000MW for internal usage and 10,000MW for export)<br />
- To meet 20% of electricity generation from renewables by 2030<br />
- For renewable energy development to drive sustainable economic development, to increase energy security supply, and to create jobs<br />
<br />
The plan recognises solar energy a primary renewable technology to be developed, while noting that the potential for wind, biomass, geothermal and hydropower energy is comparatively small. The Plan forecasts a 37% increase in total national electricity production by 2030 due to solar electricity production.<br />
<br />
The Development Plan has three stages:<br />
1. 2011 - 2013: pilot projects and testing period for various technologies with a goal to install 110MW of RE power capacity<br />
2. 2014 - 2015: beginning of the deployment programme. Installed RE power capacity to reach 650 MW by the end of this period<br />
3. 2016 - 2020: large scale REs plants deployment. Installed power capacity to reach about 2600 MW the end of this phase<br />
<br />
The Plan aims to increase energy efficiency through a number of avenues:<br />
1. improvement of heat insulation of buildings<br />
2. development of solar water heating; promotion of co-generation<br />
3. promotion of LPG and natural gas fuels<br />
4. developing solar cooling systems<br />
5. converting simply cycle power plants to combined cycle power plants, where possible<br />
6. desalinating brackish water using renewable energy<br />
7. substituting all mercury lamps with sodium lamps and promoting the use of low-energy lamps",executive,Algeria,DZA,,"Energy Supply, Energy Demand",01/02/2011 | Law passed
4,"Executive Decree No. 2011-33 on the establishment, organization and functioning of the Algerian Institute of Renewable Energy","Establishes the Algerian Institute of Renewable Energy (IAER) under the supervision of the Minister for Energy.Outlines the responsibilities of the IAER to include:<br />
- managing institutional needs and public and private organizations for the training and development of renewable energy and energy efficiency;<br />
- promoting research in the fields of renewable energy and energy efficiency;<br />
- consulting on the development of projects in the field of renewable energy and energy efficiency; and<br />
- concluding and collaborating on national and international agreements relative to renewable energy and energy efficiency.<br />
Further requires the Institute to provide skills trainings in renewable energy and energy efficiency for engineers, technicians, and other stakeholders in the field. Outlines that training topics shall include: development of engineering systems, safety and security trainings, energy audit trainings, and renewable energy management and energy efficiency modelling.<br />
<br />
Further outlines the membership and duties of the Institute and its component parts.",executive,Algeria,DZA,No,Institutions / Administrative Arrangements,27/01/2011 | Law passed
5,Executive Decree No. 10-258 establishing the powers of the Minister of Planning and the Environment,"Outlines the authority of the Minister of Planning and the Environment to recommend national policy related to sustainable development, land use management, and the environment.<br />
<br />
Authorizes the Minster to:<br />
- develop and implement national strategies for sustainable development and the environment;<br />
- planning the incremental evolution of cities and the distribution of equipment, activities, and the population;<br />
- identifying the optimal use of infrastructure and the national potential relative to the preservation and promotion of vulnerable coasts, mountains, steppes and border areas;<br />
- to develop and implement rules and measures to protect against environmental degradation and to conserve natural resources;<br />
- to design and implement cross-sector strategies and action plans relative to global concerns such as climate change, the protection of biodiversity, the protection of the ozone layer, and environmental impacts; and<br />
- to develop and promulgate rules and regulations consistent with this section.<br />
<br />
The above list is not exhaustive of the duties outlined in this decree.",executive,Algeria,DZA,,Institutions / Administrative Arrangements,21/10/2010 | Law passed
6,"Executive Decree No. 2006-138 regulating the emissions into the atmosphere of gases, fumes, liquids or solid particles","Establishes emission limits for stationary sources, particularly industrial facilities, for certain gases, including GHGs and nitrous oxide. Notably, excludes a number of GHGs from the list of gases with emission limits, including CO2, methane, and ozone.<br />
<br />
Requires industrial facility operators to keep registers of emissions released into the atmosphere. Prohibits such facilities from exceeding the emissions limits set under this decree and directs the operators to construct their facilities in such a way as to identify and capture emissions near the source. Further requires operators to treat emissions via chimney or pipe outlet, if facilities are approaching emission limits. Authorizes the periodic inspection of industrial facilities and subjects older industrial facilities, which are being upgraded within 5 years, to higher emissions limits.",executive,Algeria,DZA,,Energy Supply,15/04/2006 | Law passed
7,"Executive Decree No. 2005-375 Creating the National Agency on Climate Change, fixing its missions and defining terms of its organisation and operation","Establishes a new National Agency on Climate Change (ANCC), under the supervision of the Minister of Environment, whose primary mission is to contribute to the protection of the environment by assisting with the integration of climate change impact concerns in development plans.Additionally, the ANCC is charged with researching, synthesizing and engaging with the public regarding: (i) GHG emissions and sequestration and (ii) adaptation to and mitigation of various socio-economic climate change impacts. Following from this mission, the ANCC is responsible for: engaging in capacity building, establishing and maintaining a climate change database, aggregating weather data and preparing periodic reports, and coordinating climate change responses across different government and industry sectors.<br />
<br />
The ANCC is managed by an 18-member Board of Directors, composed of representatives from across the relevant Ministries and chaired by the Minister of Environment, or his representative.Additionally, the ANCC is headed by an appointed Executive Director, responsible for setting and appointing Algeria's National Policy for Climate Change, and is advised by a 10-member Scientific Council.",executive,Algeria,DZA,,Institutions / Administrative Arrangements,26/09/2005 | Law passed
8,Executive Decree No. 2005-495 relative to the establishment of energy audits for large consumers,"Establishes the parameters of new mandatory energy audits for:<br />
(1) industrial companies whose energy consumption exceeds or is equal to 2,000 tonnes of oil equivalent (toe);<br />
(2) transportation companies whose energy consumption exceeds or is equal to 1,000 tonnes of oil equivalent (toe); and<br />
(3) service sector companies whose energy consumption exceeds or is equal to 500 tonnes of oil equivalent (toe).<br />
<br />
Enumerates the specific formula used to calculate tonnes of oil equivalent and excludes renewable energy from calculations of total energy consumption. Consumption data from the previous 5 years, or declared consumption data for new facilitates, is employed to calculate which companies have met the above thresholds requiring an energy audit.<br />
<br />
Requires energy audits to be performed on qualifying transportation and industrial companies every 3 years and on qualifying service sector companies every 5 years. Provides for the establishment of a list of qualified auditors to perform these audit<br />
<br />
Requires energy audits to include:<br />
- the energy performance of facilities and its equipment;<br />
- an analysis of the facilities energy consumption;<br />
- the polluting emissions resulting from energy consumption;<br />
- the energy efficiency of operations based on consumer standards;<br />
- the identification of opportunities for energy savings or alternative energy use; and<br />
- the development of a corrective action plan outlining operations to achieve economic savings.<br />
<br />
Specifies the contents of a mandatory report following from the energy audits, including: an overall energy balance; an analysis of each consumer sector and its significant transactions; an assessment of energy consumption and emissions; and the disclosure of opportunities and enumeration of recommendations for energy savings and alternative energy use to reduce polluting emissions.<br />
<br />
The National Agency for the Promotion and Rational Use of Energy (APRUE) is charged with overseeing this audit programme.",executive,Algeria,DZA,,Energy Demand,26/12/2005 | Law passed
9,Law No. 04-20 relative to the Prevention of Major Risks and the Management of Catastrophes in the Framework of Sustainable Development,"The Law establishes the legal framework for disaster prevention and disaster risk management in Algeria. This Law is not limited to climate change-related risks, but explicitly includes climatic risks, and climate related areas (notably flooding and forest fires), in addition to other non-climate related disasters.",legislative,Algeria,DZA,No,Adaptation,29/12/2004 | Law passed
